route,FL_DATE,avg_arr_delay,avg_dep_delay,flights
ATL-BTV,2018-08-01,-6.534883720930233,5.930232558139535,43
ATL-BTV,2020-01-01,-14.6,-1.0666666666666667,30
ATL-BUF,2018-08-01,-1.9271523178807948,5.947019867549669,151
ATL-BUF,2020-01-01,-10.81132075471698,-1.1415094339622642,106
ATL-BUR,2020-01-01,-8.884615384615385,-2.3846153846153846,26
ATL-BWI,2018-08-01,7.4866562009419155,14.971742543171114,637
ATL-BWI,2020-01-01,-9.656179775280899,-0.6786516853932584,445
ATL-BZN,2018-08-01,-5.461538461538462,4.076923076923077,13
ATL-BZN,2020-01-01,-14.916666666666666,-2.4166666666666665,12
ATL-CAE,2018-08-01,7.788793103448276,14.73913043478261,232
ATL-CAE,2020-01-01,-8.694690265486726,-2.933628318584071,226
ATL-CAK,2018-08-01,4.931818181818182,13.123595505617978,89
ATL-CAK,2020-01-01,-11.976190476190476,-2.3333333333333335,84
ATL-CHA,2018-08-01,5.796551724137931,9.586206896551724,290
ATL-CHA,2020-01-01,-11.01556420233463,-2.3813229571984436,257
ATL-CHO,2018-08-01,-2.2635135135135136,6.095890410958904,149
ATL-CHO,2020-01-01,-12.478991596638656,-1.7851239669421488,121
ATL-CHS,2018-08-01,-1.2401215805471124,8.115501519756839,329
ATL-CHS,2020-01-01,-8.424908424908425,-1.3846153846153846,273
ATL-CID,2018-08-01,0.09195402298850575,5.454545454545454,88
ATL-CID,2020-01-01,-12.836363636363636,-3.109090909090909,55
ATL-CLE,2018-08-01,4.583850931677019,13.444099378881987,322
ATL-CLE,2020-01-01,-10.896946564885496,-1.3473282442748091,262
ATL-CLT,2018-08-01,3.065693430656934,9.450729927007298,548
ATL-CLT,2020-01-01,-9.794520547945206,-2.365296803652968,438
ATL-CMH,2018-08-01,-0.6029850746268657,8.616071428571429,336
ATL-CMH,2020-01-01,-10.93525179856115,-1.832142857142857,280
ATL-COS,2018-08-01,30.25,36.77272727272727,44
ATL-COS,2020-01-01,-12.434782608695652,1.5217391304347827,23
ATL-CRW,2018-08-01,9.76027397260274,16.411347517730498,146
ATL-CRW,2020-01-01,-9.051724137931034,-0.01680672268907563,119
ATL-CSG,2018-08-01,6.627118644067797,10.95,120
ATL-CSG,2020-01-01,-9.01388888888889,0.6666666666666666,72
ATL-CVG,2018-08-01,-3.866412213740458,4.206106870229007,262
ATL-CVG,2020-01-01,-7.889473684210526,-1.5,190
ATL-DAB,2018-08-01,7.318471337579618,11.936708860759493,158
ATL-DAB,2020-01-01,-9.514285714285714,-2.507142857142857,140
ATL-DAL,2018-08-01,3.054054054054054,12.828282828282829,297
ATL-DAL,2020-01-01,-9.25090909090909,-0.7841726618705036,278
ATL-DAY,2018-08-01,-7.60655737704918,1.9426229508196722,122
ATL-DAY,2020-01-01,-13.203703703703704,-2.4722222222222223,108
ATL-DCA,2018-08-01,9.57457627118644,12.66779089376054,593
ATL-DCA,2020-01-01,-11.239845261121857,-1.5454545454545454,517
ATL-DEN,2018-08-01,3.8811320754716983,10.181988742964352,533
ATL-DEN,2020-01-01,-12.965753424657533,-0.8721461187214612,438
ATL-DFW,2018-08-01,8.689768976897689,14.02124183006536,612
ATL-DFW,2020-01-01,-5.945754716981132,-0.2688679245283019,424
ATL-DHN,2018-08-01,2.091666666666667,8.725,120
