route,FL_DATE,flights
ATL-SRQ,2018-08-01,202
ATL-SRQ,2020-01-01,165
ATL-STL,2018-08-01,362
ATL-STL,2020-01-01,306
ATL-STT,2018-08-01,33
ATL-STT,2020-01-01,48
ATL-STX,2018-08-01,4
ATL-STX,2020-01-01,9
ATL-SYR,2018-08-01,92
ATL-SYR,2020-01-01,80
ATL-TLH,2018-08-01,198
ATL-TLH,2020-01-01,201
ATL-TPA,2018-08-01,595
ATL-TPA,2020-01-01,540
ATL-TRI,2018-08-01,186
ATL-TRI,2020-01-01,145
ATL-TTN,2018-08-01,30
ATL-TTN,2020-01-01,27
ATL-TUL,2018-08-01,149
ATL-TUL,2020-01-01,125
ATL-TUS,2018-08-01,58
ATL-TUS,2020-01-01,67
ATL-TVC,2018-08-01,13
ATL-TYS,2018-08-01,263
ATL-TYS,2020-01-01,246
ATL-VLD,2018-08-01,89
ATL-VLD,2020-01-01,71
ATL-VPS,2018-08-01,210
ATL-VPS,2020-01-01,169
ATL-XNA,2018-08-01,175
ATL-XNA,2020-01-01,143
ATW-ATL,2018-08-01,55
ATW-ATL,2020-01-01,47
ATW-AZA,2018-08-01,8
ATW-AZA,2020-01-01,7
ATW-DEN,2018-08-01,31
ATW-DTW,2018-08-01,108
ATW-DTW,2020-01-01,49
ATW-LAS,2018-08-01,9
ATW-LAS,2020-01-01,8
ATW-MSP,2018-08-01,116
ATW-MSP,2020-01-01,88
ATW-ORD,2018-08-01,217
ATW-ORD,2020-01-01,57
ATW-PGD,2020-01-01,8
ATW-PIE,2018-08-01,8
ATW-PIE,2020-01-01,6
ATW-SFB,2018-08-01,9
ATW-SFB,2020-01-01,6
ATY-DEN,2020-01-01,27
ATY-ORD,2020-01-01,22
AUS-ABQ,2018-08-01,36
AUS-ABQ,2020-01-01,36
AUS-ATL,2018-08-01,350
AUS-ATL,2020-01-01,293
AUS-BNA,2018-08-01,72
AUS-BNA,2020-01-01,78
AUS-BOS,2018-08-01,93
AUS-BOS,2020-01-01,71
AUS-BUF,2018-08-01,9
AUS-BWI,2018-08-01,58
AUS-BWI,2020-01-01,89
AUS-CHS,2018-08-01,9
AUS-CLE,2018-08-01,13
AUS-CLT,2018-08-01,159
AUS-CLT,2020-01-01,128
AUS-CMH,2018-08-01,13
AUS-CVG,2018-08-01,51
AUS-CVG,2020-01-01,17
AUS-DAL,2018-08-01,293
AUS-DAL,2020-01-01,270
AUS-DCA,2018-08-01,27
AUS-DCA,2020-01-01,29
AUS-DEN,2018-08-01,340
AUS-DEN,2020-01-01,326
AUS-DFW,2018-08-01,334
AUS-DFW,2020-01-01,252
AUS-DTW,2018-08-01,105
AUS-DTW,2020-01-01,105
AUS-ECP,2018-08-01,5
AUS-ELP,2018-08-01,82
AUS-ELP,2020-01-01,44
AUS-EWR,2018-08-01,164
AUS-EWR,2020-01-01,89
AUS-FLL,2018-08-01,74
AUS-FLL,2020-01-01,85
AUS-HOU,2018-08-01,154
AUS-HOU,2020-01-01,144
AUS-HRL,2018-08-01,28
AUS-HRL,2020-01-01,25
AUS-IAD,2018-08-01,105
AUS-IAD,2020-01-01,94
AUS-IAH,2018-08-01,265
AUS-IAH,2020-01-01,239
AUS-IND,2018-08-01,17
AUS-IND,2020-01-01,4
AUS-JAX,2018-08-01,12
AUS-JFK,2018-08-01,184
AUS-JFK,2020-01-01,179
AUS-LAS,2018-08-01,142
AUS-LAS,2020-01-01,165
AUS-LAX,2018-08-01,349
AUS-LAX,2020-01-01,305
AUS-LBB,2018-08-01,28
AUS-LBB,2020-01-01,27
AUS-LCK,2018-08-01,4
AUS-LGB,2018-08-01,62
AUS-LGB,2020-01-01,28
AUS-MCI,2018-08-01,28
AUS-MCI,2020-01-01,26
AUS-MCO,2018-08-01,85
AUS-MCO,2020-01-01,122
AUS-MDW,2018-08-01,88
AUS-MDW,2020-01-01,72
AUS-MEM,2018-08-01,4
AUS-MIA,2018-08-01,82
AUS-MIA,2020-01-01,75
AUS-MKE,2018-08-01,14
AUS-MSP,2018-08-01,99
AUS-MSP,2020-01-01,49
AUS-MSY,2018-08-01,74
AUS-MSY,2020-01-01,117
AUS-OAK,2018-08-01,31
AUS-OAK,2020-01-01,27
AUS-OMA,2018-08-01,9
AUS-ONT,2018-08-01,18
AUS-ONT,2020-01-01,9
AUS-ORD,2018-08-01,228
AUS-ORD,2020-01-01,204
AUS-PDX,2018-08-01,49
AUS-PDX,2020-01-01,23
AUS-PHL,2018-08-01,76
AUS-PHL,2020-01-01,45
AUS-PHX,2018-08-01,233
AUS-PHX,2020-01-01,211
AUS-PIE,2018-08-01,4
AUS-PIT,2018-08-01,4
AUS-PNS,2018-08-01,1
AUS-RDU,2018-08-01,41
AUS-RDU,2020-01-01,20
AUS-RNO,2018-08-01,9
AUS-SAN,2018-08-01,133
AUS-SAN,2020-01-01,116
AUS-SDF,2018-08-01,6
AUS-SEA,2018-08-01,109
AUS-SEA,2020-01-01,64
AUS-SFB,2018-08-01,4
AUS-SFO,2018-08-01,230
AUS-SFO,2020-01-01,163
AUS-SJC,2018-08-01,110
